Time,Temperature,Weight,Avg. PID,Solenoid,Pump
1593060189.573775,104.70130054448857,0.0,6.337148474543139,True,True
1593060189.9418626,104.7702529284603,0.0,6.337148474543139,True,True
1593060190.304976,104.73577655523282,0.0,6.399449496125532,True,True
1593060190.696068,104.73577655523282,0.0,6.399449496125532,False,False
1593060191.0571425,104.70130054448857,0.0,6.399449496125532,False,False
1593060191.4173918,104.56340012611008,0.0,6.481740494536895,False,False
1593060191.7960162,104.42550550654192,0.0,6.481740494536895,False,False
1593060192.1574295,104.25314538554407,0.0,6.481740494536895,False,False
1593060192.526019,104.04632519687308,0.0,10.272783298892325,False,False
1593060192.8924453,103.87398500174378,0.0,10.272783298892325,False,False
1593060193.2806594,103.73611936525734,0.0,10.272783298892325,True,True
1593060193.6656597,103.63272394052306,0.0,16.70763583068041,True,True
1593060194.033307,103.52933177484381,0.0,16.70763583068041,True,True
1593060194.3961694,103.39148062304683,0.0,16.70763583068041,True,True
1593060194.7805245,103.2536352638475,0.0,22.15259059194298,True,True
1593060195.1556768,103.04687808457159,0.0,22.15259059194298,True,True
1593060195.5203013,102.84013393453374,0.0,22.15259059194298,True,True
1593060195.8964064,102.53004213391058,0.0,26.682652344937445,True,True
1593060196.265897,102.18553005488069,0.0,26.682652344937445,True,True
1593060196.675999,101.77216329530698,0.31,26.682652344937445,True,True
1593060197.0381393,101.28996786774087,0.35,32.06836266605749,True,True
1593060197.4174566,100.84227838698193,0.41,32.06836266605749,True,True
1593060197.7958257,100.39464994811874,0.54,32.06836266605749,True,True
1593060198.181598,100.01593508212339,0.68,44.247085923673794,True,True
1593060198.5445945,99.63726388769504,0.79,44.247085923673794,True,True
1593060198.9295945,99.32747447377403,1.02,44.247085923673794,True,True
1593060199.290935,99.05213063336969,1.23,55.90971298830988,True,True
1593060199.6605422,98.81122370494687,1.27,55.90971298830988,True,True
1593060200.0469935,98.60474611263923,1.34,55.90971298830988,True,True
1593060200.4214258,98.46710159372789,1.59,61.0212879182521,True,True
1593060200.78459,98.29505405426913,1.92,61.0212879182521,True,True
1593060201.1596484,98.15742250916428,2.12,61.0212879182521,True,True
1593060201.5399277,98.0542026336291,2.3,57.1738433368703,True,True
1593060201.90667,97.95098600057783,2.52,57.1738433368703,True,True
1593060202.2810063,97.9165811767264,2.73,57.1738433368703,True,True
1593060202.6558607,97.81336886651141,3.05,49.44862883375811,True,True
1593060203.0317278,97.7445624607041,3.1,49.44862883375811,True,True
1593060203.4094021,97.67575749559289,3.58,49.44862883375811,True,True
1593060203.7867703,97.64135555327036,3.81,43.21984947167579,True,True
1593060204.1642547,97.57255274903473,4.21,43.21984947167579,True,True
1593060204.5329142,97.57255274903473,4.53,43.21984947167579,True,True
1593060204.8937194,97.50375138526915,4.81,39.354155943418135,True,True
1593060205.2761867,97.50375138526915,5.13,39.354155943418135,True,True
1593060205.652274,97.46935124353439,5.54,39.354155943418135,True,True
1593060206.0222964,97.46935124353439,5.91,36.845206624655006,True,True
1593060206.3886197,97.43495146188354,6.34,36.845206624655006,True,True
1593060206.7650182,97.43495146188354,6.77,36.845206624655006,True,True
1593060207.1499114,97.43495146188354,7.26,35.33906799397565,True,True
1593060207.5237434,97.40055204030459,7.75,35.33906799397565,True,True
1593060207.8947468,97.40055204030459,8.19,35.33906799397565,True,True
1593060208.273055,97.36615297878701,8.91,33.90807475611739,True,True
1593060208.6418464,97.36615297878701,9.38,33.90807475611739,True,True
1593060209.0279365,97.33175427731918,9.92,33.90807475611739,True,True
1593060209.4105759,97.33175427731918,10.71,33.579206155483426,True,True
1593060209.782882,97.36615297878701,11.39,33.579206155483426,True,True
1593060210.1540034,97.33175427731918,11.98,33.579206155483426,True,True
1593060210.5275118,97.29735593588983,12.69,33.09551397360006,True,True
1593060210.906726,97.2629579544873,13.47,33.09551397360006,True,True
1593060211.3079429,97.22856033310075,14.28,33.09551397360006,True,True
1593060211.6802704,97.19416307171886,15.15,33.69805612254231,True,True
1593060212.0784993,97.12536962892297,15.77,33.69805612254231,True,True
1593060212.443982,97.0221821644806,16.53,33.69805612254231,True,True
1593060212.820857,96.98778706288839,17.38,35.01712278501414,True,True
1593060213.2110302,96.91899793946872,18.24,35.01712278501414,True,True
1593060213.5754967,96.85021025566002,19.15,35.01712278501414,True,True
1593060213.945608,96.78142401137254,19.81,37.09865176141638,True,True
1593060214.332793,96.67824734384494,20.91,37.09865176141638,True,True
1593060214.7047806,96.64385584099817,21.59,37.09865176141638,True,True
1593060215.1068234,96.5406834912878,22.21,39.48605342021425,True,True
1593060215.4774356,96.50629342762282,23.39,39.48605342021425,True,True
1593060215.8404822,96.40312539518747,24.31,39.48605342021425,True,True
1593060216.231933,96.33434850558258,25.2,41.295314418640025,True,True
1593060216.6020274,96.26557305482116,25.9,41.295314418640025,True,True
1593060216.9718769,96.19679904281313,26.75,41.295314418640025,True,True
1593060217.3427243,96.09364072226508,27.47,42.140862605080045,True,True
1593060217.7287974,96.02487030674432,28.36,42.140862605080045,True,True
1593060218.1420314,95.92171738050405,29.3,42.140862605080045,True,True
1593060218.5246966,95.8185676904426,30.47,43.28988447785262,False,False
1593060218.9005508,95.7498030281285,31.02,43.28988447785262,False,False
1593060219.2663913,95.68103980389002,31.07,43.28988447785262,False,False
1593060219.6337929,95.57789766372775,31.09,44.74971709526773,False,False
1593060219.997971,95.54351766928096,31.11,44.74971709526773,False,False
1593060220.3749874,95.50913803428502,31.14,44.74971709526773,False,False
1593060220.7531877,95.47475875872941,31.16,45.34971980801411,False,False
1593060221.118177,95.50913803428502,31.19,45.34971980801411,False,False
