Time,Boiler Temperature,Group Temperature,Weight,Avg. PID,Solenoid,Pump
1595696908.702129,104.49352731402348,81.91978177916883,0.08,3.1950156138160706,True,True
1595696909.1724544,104.49352731402348,81.91978177916883,0.0,3.201246502742555,True,True
1595696909.7803695,104.45910522604069,81.91978177916883,0.0,3.201246502742555,False,False
1595696910.235303,104.21816072625252,81.88564589216043,0.09,3.3905348405250435,False,False
1595696910.7681837,103.87398500174378,82.02219155769966,0.09,3.3905348405250435,False,False
1595696911.2123337,103.32337895042504,82.02219155769966,0.1,3.3905348405250435,False,False
1595696911.6735914,102.80726969595004,82.12460451271832,0.1,9.848744828842499,False,False
1595696912.2073948,102.25684262694391,82.19288158092607,0.09,9.848744828842499,True,True
1595696912.6659918,101.80968860574346,82.43186243965967,0.09,9.848744828842499,True,True
1595696913.2508519,101.32820624333095,82.6025736450575,0.1,24.276900857147723,True,True
1595696913.7011044,100.94994821275887,82.80743874492262,0.1,24.276900857147723,True,True
1595696914.3059354,100.36545333139378,82.90987606284047,0.1,33.7991819739187,True,True
1595696914.7612872,99.54046117544442,83.08061199074191,0.1,33.7991819739187,True,True
1595696915.3189335,98.64695346731065,83.3196571279864,0.11,45.40354729144931,True,True
1595696915.7790504,97.37584209679804,83.59287277234212,0.12,45.40354729144931,True,True
1595696916.3557796,96.27689886839347,83.62702631828431,0.13,61.67197584887167,True,True
1595696916.7890124,94.86941448246596,83.86611103732487,0.31,61.67197584887167,True,True
1595696917.2689009,93.7026889967825,84.03689644247312,1.12,78.76055779473339,True,True
1595696917.8051615,92.60497224516205,84.17353113114532,2.56,78.76055779473339,True,True
1595696918.291809,91.74763571451054,84.37849377339106,3.46,95.89588877119508,True,True
1595696918.9075348,90.78768379166507,84.54930570190704,4.37,95.89588877119508,True,True
1595696919.388397,90.17071958438352,84.75429169015443,5.24,110.36163531766405,True,True
1595696919.9736743,89.58813726486275,85.02762615552109,6.36,110.36163531766405,True,True
1595696920.4475496,89.1769647102694,85.09596331072952,7.03,120.63840898666342,True,True
1595696921.0006523,88.93713774908221,85.26681239272985,8.14,120.63840898666342,True,True
1595696921.4729407,88.69732824313434,85.40349803000564,9.07,120.48165235786291,True,True
1595696922.0515041,88.49179112809266,85.6085371070304,10.11,120.48165235786291,True,True
1595696922.5192347,88.32051999132955,85.71106142568577,10.94,110.82471301202717,True,True
1595696923.1046379,88.21776158171387,85.84776547508035,11.88,110.82471301202717,True,True
1595696923.5500658,88.11500637606338,86.05283217457524,13.03,98.3614390369457,True,True
1595696924.0173552,88.04650468546251,86.12119057486662,13.8,98.3614390369457,True,True
1595696924.574044,87.97800441862391,86.32627427835456,14.92,98.3614390369457,True,True
1595696925.0415895,87.9437548190881,86.42882091336385,15.7,82.95092133478536,True,True
1595696925.6328654,87.90950557545935,86.42882091336385,16.77,82.95092133478536,True,True
1595696926.0907822,87.87525668772714,86.5997390590606,17.74,75.61984965233792,True,True
1595696926.707372,87.84100815587985,86.70229419937215,18.79,75.61984965233792,True,True
1595696927.1680806,87.80675997990694,86.87322652233567,19.7,71.46544782180558,True,True
1595696927.749727,87.73826469553848,86.94160193296761,20.84,71.46544782180558,True,True
1595696928.2376373,87.70401758712116,87.00997876170109,21.73,69.27633537445112,True,True
1595696928.850202,87.63552443776437,87.18092703830816,22.6,69.27633537445112,True,True
1595696929.3298895,87.60127839680275,87.21511775739339,23.52,68.18346630611303,True,True
1595696929.921496,87.60127839680275,87.31769204237493,24.64,68.18346630611303,True,True
1595696930.3991952,87.60127839680275,87.42026951917745,25.56,67.7493474133242,True,True
1595696930.9530718,87.60127839680275,87.52285018809833,26.4,67.7493474133242,True,True
1595696931.4181383,87.56703271163742,87.62543404943646,27.3,67.29645844151045,True,True
1595696931.8878992,87.60127839680275,87.7280211034896,28.23,67.29645844151045,True,True
1595696932.403744,87.60127839680275,87.76221749771781,29.05,67.29645844151045,True,True
1595696932.86844,87.60127839680275,87.83061135055587,29.91,66.86740084989516,True,True
1595696933.4564838,87.60127839680275,87.89900662264291,30.9,66.86740084989516,True,True
1595696933.9269226,87.60127839680275,88.00160219206009,31.64,66.19754360228197,True,True
1595696934.5399885,87.56703271163742,88.13840125281403,32.81,66.19754360228197,False,False
1595696935.0104258,87.60127839680275,88.13840125281403,33.53,65.56903220568856,False,False
1595696935.608062,87.60127839680275,88.30940806435417,33.69,65.56903220568856,False,False
1595696936.0778978,87.63552443776437,88.34361049151883,33.74,65.25346504430495,False,False
1595696936.6727688,87.63552443776437,88.48042375006976,33.77,65.25346504430495,False,False
1595696937.1508453,87.77251215979678,88.44621990292656,33.78,64.86885278881,False,False
