Time,Boiler Temperature,Group Temperature,Weight,Avg. PID,Solenoid,Pump
1595696557.086691,102.5664464918625,83.3196571279864,0.0,14.77136100847874,True,True
1595696557.6411164,102.5664464918625,83.35380784665749,0.0,14.77136100847874,True,True
1595696558.1548688,102.60084872458074,83.2855067626751,9.11,14.491446180799414,True,True
1595696558.7787664,102.5320446198308,83.2855067626751,17.67,14.491446180799414,True,True
1595696559.2588792,102.29124161388903,83.42211034412185,24.54,14.296178725663136,True,True
1595696559.8386323,101.7065078676403,83.49041425515605,32.2,14.296178725663136,True,True
1595696560.3155055,101.01871915830523,83.59287277234212,36.52,17.179085123541665,True,True
1595696560.9140503,99.91855685293925,83.9002674112403,43.44,17.179085123541665,True,True
1595696561.3858373,98.88748932670674,84.24185059724105,47.3,27.381998888973136,True,True
1595696561.9987082,97.71933722426094,84.54930570190704,52.92,27.381998888973136,True,True
1595696562.4817219,96.13955679308431,84.92512307699606,56.78,44.763030061224555,True,True
1595696563.0889387,94.86941448246596,85.30098327104263,62.16,44.763030061224555,False,False
1595696563.5836444,93.22239285933948,85.64271152580527,66.35,67.93301346564849,False,False
1595696564.1301553,91.88479455489707,86.1553703063981,66.47,67.93301346564849,False,False
1595696564.613025,90.47918724045924,86.53137073761343,66.46,96.34000282571485,False,False
1595696565.221384,89.48533931501677,86.77066606513571,66.46,96.34000282571485,False,False
1595696565.6639555,88.35477350657894,87.18092703830816,66.47,121.36032209773957,False,False
