Time,Boiler Temperature,Group Temperature,Weight,Avg. PID,Solenoid,Pump
1594408511.2929542,105.04432986942604,97.3855024065871,0.0,-2.101595758299376,True,True
1594408511.8609488,105.00990199890813,96.39104839673323,0.0,-2.1694232416977703,True,True
1594408512.3226924,104.97547448988406,96.35676224458975,0.0,-2.1694232416977703,True,True
1594408512.9133396,104.97547448988406,96.42533490646818,0.0,-1.8742334597202777,False,False
1594408513.3864062,104.83776806849829,96.39104839673323,0.0,-1.8742334597202777,False,False
1594408513.9707315,104.63121927929917,96.39104839673323,0.0,-1.367006007691765,False,False
1594408514.4315221,104.25258028529198,96.4939089987568,0.0,-1.367006007691765,False,False
1594408514.96997,104.04606834930783,96.59677281940509,0.0,1.6726706783384728,False,False
1594408515.4189334,103.77073932671655,96.59677281940509,0.0,1.6726706783384728,True,True
1594408515.8901272,103.59867042320585,96.73392958754089,0.0,1.6726706783384728,True,True
1594408516.424437,103.42661054538105,96.83680091948813,0.0,8.953978980752469,True,True
1594408516.8828716,103.2201506038983,96.93967547106713,0.0,8.953978980752469,True,True
1594408517.469162,102.84167445379411,97.04255324258014,0.0,8.953978980752469,True,True
1594408517.9273767,102.49764310847478,97.28261389977578,0.0,15.531942817006518,True,True
1594408518.4749262,102.05045627715607,97.3855024065871,0.16,15.531942817006518,True,True
1594408519.033572,101.32820624333095,97.48839413464285,0.93,22.361666310208072,True,True
1594408519.5966616,100.77802715139397,97.52269209321294,1.26,22.361666310208072,True,True
1594408520.0538921,100.124809208453,97.52269209321294,1.44,29.771240570507928,True,True
1594408520.6448765,99.67794547625375,97.62558811673277,1.84,29.771240570507928,True,True
1594408521.1104782,99.19677560019696,97.62558811673277,1.97,37.87412559525695,True,True
1594408521.652433,98.85312598274002,97.65988750721345,2.29,37.87412559525695,True,True
1594408522.1163745,98.57823217080015,97.72848736220332,2.66,46.043297341573904,True,True
1594408522.6215556,98.37207690590485,97.72848736220332,3.18,46.043297341573904,True,True
1594408523.1336596,98.16593457606788,97.72848736220332,3.55,46.043297341573904,True,True
1594408523.6089053,97.99415918039526,97.76278782673505,4.07,53.75294143566761,True,True
1594408524.2072384,97.82239276430316,97.72848736220332,4.93,53.75294143566761,True,True
1594408524.6711948,97.68498609578138,97.7970886493058,5.4,54.212166259374,True,True
1594408525.2179937,97.5475851725695,97.83138982992725,6.29,54.212166259374,True,True
1594408525.703112,97.44453825008642,97.83138982992725,7.11,50.261472222438826,True,True
1594408526.2738256,97.27280055919177,97.83138982992725,7.92,50.261472222438826,True,True
1594408526.722918,97.16976225210658,97.7970886493058,8.78,46.38863349092956,True,True
1594408527.2949836,96.99803891840783,97.83138982992725,9.63,46.38863349092956,True,True
1594408527.7610102,96.860666710938,97.86569136861063,10.65,43.86190193198765,True,True
1594408528.2296937,96.7233002444563,97.83138982992725,11.31,43.86190193198765,True,True
1594408528.7574399,96.55160023352254,97.86569136861063,12.4,43.86190193198765,True,True
1594408529.2336771,96.37990919035295,97.86569136861063,13.24,43.44593595264206,True,True
1594408529.8144314,96.24256281166345,97.89999326536723,14.18,43.44593595264206,True,True
1594408530.280563,96.10522217072467,97.89999326536723,15.07,44.2637270058025,True,True
1594408530.8335986,95.93355443716771,97.93429552020791,16.12,44.2637270058025,True,True
1594408531.3011553,95.7962267035392,97.93429552020791,16.86,45.473020758260596,True,True
1594408531.8903966,95.69323466722292,97.96859813314397,17.86,45.473020758260596,True,True
1594408532.3394892,95.55591697009805,97.96859813314397,18.74,46.60687092430401,True,True
1594408532.898922,95.38427791226623,98.00290110418665,19.64,46.60687092430401,True,True
1594408533.3602896,95.31562479751271,98.00290110418665,20.43,47.48558382989093,True,True
1594408533.843533,95.21264781265195,98.0372044333476,21.31,47.48558382989093,True,True
1594408534.362667,95.10967405224413,98.0372044333476,22.21,47.48558382989093,True,True
1594408534.8350444,95.07535018193451,98.07150812063732,23.07,47.907675447158326,True,True
1594408535.4342356,94.9723807203269,98.1058121660671,24.08,47.907675447158326,True,True
1594408535.908584,94.93805828286057,98.14011656964894,24.9,47.57464836850938,True,True
1594408536.4600868,94.86941448246596,98.17442133139296,25.7,47.57464836850938,True,True
1594408536.9267106,94.86941448246596,98.20872645131121,26.57,46.92349752703376,True,True
1594408537.5244827,94.83509311951475,98.20872645131121,27.55,46.92349752703376,True,True
1594408537.9998772,94.76645146804901,98.27733776571502,28.35,45.98665184675682,True,True
1594408538.550289,94.73213117951194,98.31164396022237,29.2,45.98665184675682,True,True
1594408539.0222642,94.66349167677345,99.68418559966206,29.99,45.000016503603845,False,False
1594408539.4868197,94.59485360640777,99.61554489427846,30.45,45.000016503603845,False,False
1594408539.9909241,94.56053510833662,99.68418559966206,30.49,45.000016503603845,False,False
1594408540.4653234,94.52621696832517,99.71850649035018,30.52,44.66343402350204,False,False
1594408541.0264943,94.52621696832517,99.71850649035018,30.53,44.66343402350204,False,False
1594408541.4867117,94.59485360640777,99.78714934777653,30.53,44.51821629682505,False,False
