Time,Temperature,Weight,Avg. PID,Solenoid,Pump
1593164991.1567383,104.1497336609102,0.0,8.215429499293695,True,True
1593164991.5478709,104.18420387348428,0.0,8.215429499293695,True,True
1593164991.9130516,104.1497336609102,0.0,8.410494926379936,True,True
1593164992.2964585,104.1497336609102,0.0,8.410494926379936,False,False
1593164992.6637762,104.11526381062487,0.0,8.410494926379936,False,False
1593164993.02975,104.01185643338412,0.0,8.752088048039422,False,False
1593164993.4013598,103.83951804935492,0.0,8.752088048039422,False,False
1593164993.7653966,103.66718871996873,0.0,8.752088048039422,False,False
1593164994.184336,103.49486844379874,0.0,12.435613547985422,False,False
1593164994.5328338,103.3570187402195,0.0,12.435613547985422,False,False
1593164994.9107137,103.18471475624347,0.0,12.435613547985422,True,True
1593164995.2996283,103.08133670957584,0.0,18.420694488540263,True,True
1593164995.660705,102.97796192032051,0.0,18.420694488540263,True,True
1593164996.0326827,102.8745903881696,0.0,18.420694488540263,True,True
1593164996.4007175,102.7367667447092,0.0,23.43545156422247,True,True
1593164996.7675853,102.5644953312632,0.0,23.43545156422247,True,True
1593164997.1455622,102.35778157320405,0.0,23.43545156422247,True,True
1593164997.510942,102.08218348363808,0.0,27.53861374492276,True,True
1593164997.8716426,101.73771841537481,0.0,27.53861374492276,True,True
1593164998.2532156,101.35884859198445,0.0,27.53861374492276,True,True
1593164998.625089,100.98002249378322,0.13,33.00502254242794,True,True
1593164998.9973757,100.53237527545777,0.42,33.00502254242794,True,True
1593164999.3685207,100.18807278829179,0.45,33.00502254242794,True,True
1593164999.7444153,99.80938174502376,0.51,43.21974309516444,True,True
1593165000.106179,99.49957609624964,0.78,43.21974309516444,True,True
1593165000.470187,99.18979966837357,0.77,43.21974309516444,True,True
1593165000.8383658,98.98329827953971,0.91,54.08663496322414,True,True
1593165001.2199414,98.77680987164912,0.96,54.08663496322414,True,True
1593165001.5865424,98.57033444225404,1.27,54.08663496322414,True,True
1593165001.949433,98.43269136505786,1.42,57.974688112993704,True,True
1593165002.32198,98.29505405426913,1.48,57.974688112993704,True,True
1593165002.6964827,98.19182985494731,1.58,57.974688112993704,True,True
1593165003.0565865,98.08860889851644,1.69,54.26148769816901,True,True
1593165003.464339,98.01979672901791,2.15,54.26148769816901,True,True
1593165003.8366246,97.95098600057783,2.23,54.26148769816901,True,True
1593165004.2163973,97.88217671310571,2.67,47.27459295016107,True,True
1593165004.579909,97.84777260970446,2.89,47.27459295016107,True,True
1593165004.9540067,97.7445624607041,3.21,47.27459295016107,True,True
1593165005.3225296,97.71015979806693,3.51,41.562558559350336,True,True
1593165005.6976404,97.71015979806693,3.83,41.562558559350336,True,True
1593165006.0686162,97.67575749559289,4.27,41.562558559350336,True,True
1593165006.4587808,97.67575749559289,4.69,37.81060643301042,True,True
1593165006.8197665,97.64135555327036,5.0,37.81060643301042,True,True
1593165007.1898782,97.64135555327036,5.45,37.81060643301042,True,True
